date,home_team,away_team,home_score,away_score,tournament,neutral
2021-02-13,Senegal,Iran,3,1,Friendly,0
2021-02-14,Uruguay,Colombia,3,0,Friendly,1
2021-02-14,Portugal,Tunisia,1,1,Qualifiers,0
2021-02-14,Sweden,Germany,3,3,Friendly,0
2021-02-14,USA,Australia,2,0,Qualifiers,0
2021-02-15,Egypt,Saudi Arabia,1,1,Qualifiers,0
2021-02-15,Jordan,Portugal,0,4,Qualifiers,0
2021-02-17,Tunisia,Argentina,1,3,Friendly,0
2021-02-17,Haiti,Saudi Arabia,1,1,Qualifiers,0
2021-02-20,Algeria,Senegal,1,2,Continental Cup,1
2021-02-21,Jordan,South Africa,0,4,Qualifiers,1
2021-02-21,Belgium,Iran,0,0,Continental Cup,1
2021-02-22,Sweden,Croatia,1,1,Friendly,1
2021-02-22,Argentina,South Africa,3,0,Friendly,1
2021-02-22,DR Congo,Colombia,2,2,Qualifiers,0
2021-02-24,New Zealand,Spain,0,2,Qualifiers,1
2021-02-25,Türkiye,Saudi Arabia,4,0,Qualifiers,1
2021-02-25,Germany,Czechia,1,1,Continental Cup,1
2021-02-26,Australia,Brazil,2,1,Qualifiers,1
2021-02-26,Egypt,Uzbekistan,0,3,Qualifiers,1
2021-02-27,USA,Saudi Arabia,1,0,Qualifiers,1
2021-02-28,Saudi Arabia,South Korea,1,0,Continental Cup,1
2021-02-28,Portugal,Ecuador,5,0,Continental Cup,1
2021-03-01,Belgium,England,1,2,Friendly,0
2021-03-01,South Africa,Iraq,0,1,Qualifiers,0
2021-03-02,Japan,Saudi Arabia,2,0,Qualifiers,1
2021-03-03,Senegal,Sweden,1,2,FIFA World Cup,1
2021-03-05,Panama,Tunisia,1,3,Friendly,1
2021-03-06,Iraq,Norway,2,0,Qualifiers,1
2021-03-07,Panama,Bosnia and Herzegovina,2,1,Friendly,0
2021-03-08,DR Congo,Netherlands,3,0,Continental Cup,1
2021-03-09,Colombia,Saudi Arabia,3,1,Qualifiers,0
2021-03-09,Canada,Portugal,0,3,Friendly,1
2021-03-09,Germany,Uzbekistan,2,0,Friendly,1
2021-03-09,Qatar,France,0,4,Qualifiers,0
2021-03-13,Mexico,Cape Verde,3,1,Qualifiers,0
2021-03-14,USA,Argentina,2,1,Qualifiers,1
2021-03-14,Panama,Uzbekistan,2,1,Qualifiers,1
2021-03-17,Colombia,Cape Verde,0,1,FIFA World Cup,1
2021-03-17,Czechia,Türkiye,3,0,Qualifiers,1
2021-03-17,Netherlands,Croatia,0,1,FIFA World Cup,1
2021-03-17,Sweden,Ghana,2,5,Qualifiers,1
2021-03-18,Ecuador,South Korea,3,2,FIFA World Cup,1
2021-03-19,England,Switzerland,2,0,Continental Cup,1
2021-03-20,Czechia,Canada,3,1,Qualifiers,0
2021-03-21,South Africa,Bosnia and Herzegovina,1,3,Qualifiers,0
2021-03-21,DR Congo,Argentina,0,1,Friendly,0
2021-03-22,Sweden,Jordan,1,1,Qualifiers,1
2021-03-23,Haiti,Morocco,0,1,Continental Cup,1
2021-03-23,Iran,France,1,4,Qualifiers,1
2021-03-23,Jordan,England,0,2,Qualifiers,1
2021-03-25,Colombia,Curaçao,0,1,Qualifiers,1
2021-03-26,Netherlands,Algeria,1,2,Qualifiers,0
2021-03-29,Uzbekistan,Norway,1,1,Friendly,0
2021-03-29,Ghana,Iraq,2,1,Qualifiers,1
2021-03-30,Iraq,Ghana,2,0,Continental Cup,1
2021-03-31,Senegal,Ghana,3,1,Continental Cup,1
2021-04-02,Croatia,Czechia,1,0,Qualifiers,0
2021-04-02,England,Curaçao,1,0,Friendly,1
2021-04-05,Austria,Iraq,1,2,Qualifiers,1
2021-04-06,France,Norway,3,1,Continental Cup,1
2021-04-07,Spain,Austria,3,4,Qualifiers,1
2021-04-08,Ghana,Morocco,1,3,Qualifiers,0
2021-04-08,Egypt,Spain,0,0,Qualifiers,1
2021-04-08,South Africa,Sweden,1,2,Continental Cup,1
2021-04-08,Jordan,Ghana,2,1,Friendly,1
2021-04-10,Brazil,Saudi Arabia,2,2,Qualifiers,0
2021-04-13,Morocco,Canada,2,1,Qualifiers,1
2021-04-14,New Zealand,Uzbekistan,0,1,Continental Cup,1
2021-04-14,DR Congo,USA,0,1,Qualifiers,1
2021-04-21,Germany,Haiti,2,1,Qualifiers,0
2021-04-21,Tunisia,Morocco,2,0,Qualifiers,1
2021-04-23,Croatia,Czechia,2,1,Qualifiers,1
2021-04-24,Türkiye,Japan,0,2,Continental Cup,1
2021-04-24,Bosnia and Herzegovina,Colombia,3,6,Continental Cup,1
2021-04-26,Qatar,Uzbekistan,3,1,Qualifiers,1
2021-04-27,Jordan,Iran,1,4,Friendly,1
2021-04-28,Scotland,Jordan,0,1,Continental Cup,1
2021-04-29,Portugal,Ghana,2,2,Qualifiers,1
2021-04-29,Ecuador,Qatar,4,1,Qualifiers,1
2021-04-29,Japan,Uzbekistan,1,1,Qualifiers,0
2021-05-01,Portugal,Argentina,2,0,FIFA World Cup,1
2021-05-01,Morocco,Brazil,1,1,FIFA World Cup,1
2021-05-02,Czechia,Morocco,2,1,Qualifiers,0
2021-05-02,Canada,Curaçao,2,2,Qualifiers,0
2021-05-05,Scotland,Cape Verde,4,1,Qualifiers,0
2021-05-06,Croatia,Switzerland,3,2,Friendly,1
2021-05-06,Germany,Ivory Coast,2,1,Qualifiers,0
2021-05-07,Portugal,Germany,1,2,Qualifiers,1
2021-05-07,Senegal,Netherlands,1,2,Qualifiers,0
2021-05-07,Bosnia and Herzegovina,Senegal,0,3,Qualifiers,0
2021-05-08,Australia,Norway,3,1,Friendly,0
2021-05-09,Colombia,Spain,0,1,Friendly,1
2021-05-10,Canada,Germany,0,2,Qualifiers,0
2021-05-10,Switzerland,Canada,0,0,Qualifiers,0
2021-05-10,Uzbekistan,Algeria,3,0,Qualifiers,1
2021-05-10,USA,Croatia,0,0,Qualifiers,0
2021-05-11,Brazil,Uruguay,2,1,Friendly,0
2021-05-12,Iraq,Ivory Coast,2,0,Friendly,1
2021-05-14,Iraq,Paraguay,1,3,Qualifiers,0
2021-05-17,Netherlands,Ghana,3,0,Friendly,0
2021-05-18,Ghana,Uzbekistan,3,0,Friendly,0
2021-05-19,Qatar,Cape Verde,3,1,Continental Cup,1
2021-05-19,Belgium,Portugal,2,0,Qualifiers,0
2021-05-20,Saudi Arabia,Morocco,1,1,Qualifiers,1
2021-05-20,South Africa,Iraq,0,2,Continental Cup,1
2021-05-20,Bosnia and Herzegovina,Cape Verde,2,0,Friendly,0
2021-05-23,Senegal,Mexico,0,2,Continental Cup,1
2021-05-23,Australia,Paraguay,2,0,Friendly,1
2021-05-23,Ghana,France,0,3,Qualifiers,0
2021-05-23,Cape Verde,Algeria,0,1,Continental Cup,1
2021-05-24,Spain,Czechia,2,0,FIFA World Cup,1
2021-05-26,Iraq,USA,1,0,Qualifiers,1
2021-05-29,Argentina,Croatia,2,2,Friendly,1
2021-05-29,USA,Morocco,1,1,Qualifiers,1
2021-05-31,Norway,South Africa,3,1,Qualifiers,0
2021-05-31,Brazil,Belgium,1,1,Continental Cup,1
2021-06-01,Croatia,Türkiye,2,1,Qualifiers,0
2021-06-01,South Africa,Croatia,0,2,Continental Cup,1
2021-06-01,Uzbekistan,Croatia,0,4,Friendly,1
2021-06-03,Ivory Coast,England,0,0,Qualifiers,1
2021-06-05,Japan,Sweden,1,2,Qualifiers,1
2021-06-07,Japan,Jordan,3,1,Continental Cup,1
2021-06-09,Portugal,South Africa,3,0,Qualifiers,1
2021-06-09,Egypt,Czechia,2,2,Qualifiers,1
2021-06-11,Haiti,South Africa,0,2,Friendly,0
2021-06-11,Australia,Morocco,1,1,Friendly,1
2021-06-12,Japan,Scotland,0,1,Friendly,1
2021-06-12,Haiti,Iran,1,0,Qualifiers,1
2021-06-13,Curaçao,Jordan,0,0,Friendly,1
2021-06-15,Haiti,Saudi Arabia,2,0,Friendly,0
2021-06-16,South Africa,Portugal,0,0,Qualifiers,1
2021-06-16,Switzerland,Belgium,0,2,Friendly,1
2021-06-16,Bosnia and Herzegovina,Australia,2,0,Friendly,1
2021-06-16,Haiti,Sweden,2,2,Friendly,0
2021-06-18,Mexico,New Zealand,2,1,FIFA World Cup,1
2021-06-18,Austria,Senegal,3,0,Qualifiers,0
2021-06-18,Haiti,Uzbekistan,1,2,Qualifiers,1
2021-06-18,Iraq,Australia,2,2,Friendly,1
2021-06-18,DR Congo,South Africa,2,0,Qualifiers,0
2021-06-19,Uruguay,Panama,1,0,Continental Cup,1
2021-06-19,Ecuador,Belgium,2,3,Friendly,1
2021-06-22,Haiti,Uruguay,1,1,Qualifiers,0
2021-06-22,Cape Verde,Paraguay,1,0,Friendly,0
2021-06-22,Norway,Belgium,1,1,Friendly,1
2021-06-23,Scotland,Uzbekistan,6,1,Friendly,1
2021-06-24,Japan,Switzerland,2,2,Qualifiers,0
2021-06-24,Qatar,Algeria,1,0,Qualifiers,0
2021-06-24,Argentina,South Africa,2,0,Continental Cup,1
2021-06-25,Curaçao,Iraq,0,1,Qualifiers,0
2021-06-26,Germany,Saudi Arabia,0,3,Friendly,1
2021-06-27,Haiti,Tunisia,0,1,Friendly,0
2021-06-27,Egypt,Spain,1,1,Qualifiers,1
2021-06-28,Saudi Arabia,Algeria,0,1,Qualifiers,0
2021-06-30,Switzerland,DR Congo,5,0,Qualifiers,1
2021-07-04,DR Congo,England,0,1,Continental Cup,1
2021-07-04,Saudi Arabia,Belgium,1,1,Friendly,1
2021-07-05,Uruguay,Jordan,4,1,Friendly,0
2021-07-06,South Africa,Ivory Coast,1,1,Continental Cup,1
2021-07-06,Saudi Arabia,Switzerland,0,1,Qualifiers,1
2021-07-07,England,Saudi Arabia,4,3,Friendly,1
2021-07-08,Colombia,New Zealand,2,2,Friendly,1
2021-07-08,Ghana,Argentina,3,0,Qualifiers,0
2021-07-08,Saudi Arabia,Iraq,2,1,Friendly,0
2021-07-09,Türkiye,Algeria,4,3,Qualifiers,0
2021-07-09,Netherlands,DR Congo,5,1,Friendly,0
2021-07-10,Saudi Arabia,Netherlands,1,2,Continental Cup,1
2021-07-11,Germany,Austria,6,0,Friendly,1
2021-07-11,Colombia,DR Congo,0,2,Continental Cup,1
2021-07-13,Croatia,Canada,3,1,Friendly,0
2021-07-14,DR Congo,Senegal,0,2,Friendly,1
2021-07-15,Scotland,South Korea,2,1,Friendly,0
2021-07-15,Paraguay,Argentina,2,0,Qualifiers,1
2021-07-16,Netherlands,USA,4,0,Qualifiers,0
2021-07-17,Belgium,Qatar,5,1,Friendly,1
2021-07-17,Sweden,Croatia,2,3,Qualifiers,0
2021-07-18,Curaçao,DR Congo,2,2,Friendly,0
2021-07-18,Iran,DR Congo,3,0,Continental Cup,1
2021-07-19,England,Saudi Arabia,1,1,Qualifiers,0
2021-07-19,Belgium,Ghana,1,1,Friendly,1
2021-07-20,Uzbekistan,Brazil,1,2,Qualifiers,1
2021-07-20,Uzbekistan,Austria,0,0,FIFA World Cup,1
2021-07-20,Germany,Norway,0,1,Continental Cup,1
2021-07-22,France,USA,2,0,Friendly,0
2021-07-22,Egypt,Iraq,3,0,Continental Cup,1
2021-07-24,Uruguay,Paraguay,5,0,Friendly,0
2021-07-25,Curaçao,Saudi Arabia,2,0,Friendly,0
2021-07-27,Bosnia and Herzegovina,Saudi Arabia,0,1,Qualifiers,1
2021-07-28,Algeria,Morocco,0,3,Qualifiers,0
2021-07-29,Haiti,England,0,1,Qualifiers,0
2021-07-29,Germany,Ivory Coast,2,0,Continental Cup,1
2021-07-29,Belgium,Switzerland,0,1,Qualifiers,1
2021-07-30,Australia,Brazil,2,1,Qualifiers,0
2021-08-02,France,Mexico,1,1,Continental Cup,1
2021-08-04,Paraguay,Iraq,0,1,Friendly,0
2021-08-06,Canada,Brazil,2,4,Qualifiers,1
2021-08-06,Australia,Ghana,1,0,Friendly,0
2021-08-07,England,Scotland,2,2,Continental Cup,1
2021-08-07,New Zealand,Bosnia and Herzegovina,1,0,Friendly,1
2021-08-08,South Korea,Scotland,2,2,Continental Cup,1
2021-08-09,Curaçao,Iraq,3,1,Qualifiers,0
2021-08-09,Scotland,Uzbekistan,1,0,Qualifiers,1
2021-08-09,Iraq,Uzbekistan,3,0,Qualifiers,0
2021-08-10,England,Netherlands,3,1,Qualifiers,1
2021-08-11,Haiti,Portugal,3,1,Qualifiers,0
2021-08-11,Bosnia and Herzegovina,USA,1,2,Continental Cup,1
2021-08-11,Australia,Haiti,3,1,Friendly,0
2021-08-13,Austria,Cape Verde,2,0,Continental Cup,1
2021-08-14,Austria,Morocco,0,2,Friendly,1
2021-08-14,Senegal,Jordan,4,0,Friendly,0
2021-08-15,Australia,DR Congo,3,0,Friendly,1
2021-08-15,Jordan,Saudi Arabia,3,0,Qualifiers,1
2021-08-15,Senegal,Brazil,0,1,Continental Cup,1
2021-08-16,Tunisia,Japan,2,2,Qualifiers,1
2021-08-17,England,Norway,1,1,Continental Cup,1
2021-08-19,England,Uzbekistan,0,0,Continental Cup,1
2021-08-20,Switzerland,Haiti,1,0,Friendly,1
2021-08-21,Algeria,Spain,0,3,Qualifiers,1
2021-08-21,South Africa,Saudi Arabia,1,1,Qualifiers,0
2021-08-22,Panama,Uruguay,1,1,Friendly,0
2021-08-24,South Africa,Türkiye,0,1,Qualifiers,0
2021-08-24,Paraguay,Canada,1,2,Qualifiers,1
2021-08-25,Tunisia,Czechia,3,1,Continental Cup,1
2021-08-26,South Africa,Tunisia,0,3,Friendly,1
2021-08-26,Czechia,Ghana,2,1,Continental Cup,1
2021-08-27,Panama,Türkiye,2,1,Qualifiers,0
2021-08-29,Ivory Coast,Netherlands,1,0,Friendly,0
2021-08-29,Bosnia and Herzegovina,Canada,0,0,Continental Cup,1
2021-08-30,Haiti,Croatia,1,0,Qualifiers,1
2021-08-30,Bosnia and Herzegovina,France,0,5,Qualifiers,0
2021-08-30,Belgium,Ecuador,4,1,Qualifiers,0
2021-08-30,Austria,Türkiye,2,0,Friendly,1
2021-08-30,Haiti,Ghana,3,0,Qualifiers,1
2021-08-31,Algeria,Bosnia and Herzegovina,5,0,Qualifiers,0
2021-09-01,Belgium,Tunisia,1,1,Friendly,1
2021-09-02,Czechia,Morocco,0,1,Friendly,1
2021-09-03,Croatia,Saudi Arabia,2,1,Qualifiers,0
2021-09-03,England,Mexico,4,0,Qualifiers,0
2021-09-04,Uzbekistan,Algeria,0,0,Friendly,1
2021-09-05,Saudi Arabia,England,2,4,Qualifiers,1
2021-09-06,Germany,Colombia,1,1,Friendly,0
2021-09-07,Czechia,Panama,1,1,Qualifiers,1
2021-09-08,Curaçao,South Korea,1,2,Continental Cup,1
2021-09-09,Croatia,Netherlands,1,2,Friendly,1
2021-09-09,Switzerland,Curaçao,1,1,Friendly,0
2021-09-10,France,South Korea,1,2,Qualifiers,0
2021-09-12,Brazil,Haiti,5,1,Qualifiers,0
2021-09-12,Türkiye,Colombia,3,2,Qualifiers,0
2021-09-12,Spain,Portugal,1,1,Friendly,0
2021-09-13,New Zealand,Cape Verde,1,2,Friendly,0
2021-09-16,Sweden,Uzbekistan,2,0,Friendly,1
2021-09-17,Ecuador,Iraq,2,0,Qualifiers,0
2021-09-18,France,Netherlands,1,2,Qualifiers,1
2021-09-19,Canada,Tunisia,1,0,Friendly,0
2021-09-20,Iran,Morocco,1,2,Continental Cup,1
2021-09-21,Uruguay,South Africa,2,1,Friendly,0
2021-09-21,Australia,Spain,0,0,Friendly,1
2021-09-23,Japan,Ecuador,2,1,Friendly,1
2021-09-23,New Zealand,South Africa,2,2,Qualifiers,1
2021-09-23,Algeria,Morocco,1,2,Continental Cup,1
2021-09-23,Australia,Germany,1,1,Friendly,1
2021-09-25,Ecuador,Japan,2,2,Qualifiers,1
2021-09-25,South Africa,Qatar,1,0,Qualifiers,0
2021-09-25,Qatar,South Korea,1,2,Qualifiers,0
2021-09-25,DR Congo,USA,0,0,Continental Cup,1
2021-09-26,Uzbekistan,Ivory Coast,0,1,Friendly,0
2021-09-26,DR Congo,Egypt,2,2,Qualifiers,0
2021-09-27,Brazil,France,2,2,Friendly,1
2021-09-28,Czechia,Iran,1,2,Friendly,1
2021-09-29,Cape Verde,Ecuador,1,2,Qualifiers,0
2021-09-29,South Korea,Ecuador,4,1,Continental Cup,1
2021-09-29,Ivory Coast,USA,0,1,Continental Cup,1
2021-09-29,Australia,Senegal,1,0,Continental Cup,1
2021-09-30,Qatar,Paraguay,1,0,Continental Cup,1
2021-10-01,Spain,New Zealand,3,0,Friendly,1
2021-10-01,Senegal,Uruguay,1,1,Friendly,0
2021-10-02,Senegal,Japan,2,0,Friendly,1
2021-10-03,Spain,Brazil,3,1,Qualifiers,0
2021-10-04,Bosnia and Herzegovina,Japan,2,2,Continental Cup,1
2021-10-06,Japan,Czechia,0,2,Qualifiers,1
2021-10-07,Netherlands,England,1,1,Continental Cup,1
2021-10-07,Paraguay,South Africa,0,3,Friendly,0
2021-10-07,Germany,Jordan,2,1,Continental Cup,1
2021-10-08,Canada,Ghana,1,1,Friendly,1
2021-10-09,Croatia,Australia,1,1,Qualifiers,1
2021-10-09,Algeria,Switzerland,1,3,Continental Cup,1
2021-10-10,Iran,Haiti,3,0,Qualifiers,1
2021-10-10,Algeria,USA,0,2,Qualifiers,0
2021-10-12,Sweden,England,0,0,Friendly,1
2021-10-14,Bosnia and Herzegovina,Czechia,2,2,Friendly,1
2021-10-14,Uruguay,Brazil,3,1,Friendly,0
2021-10-15,Colombia,Algeria,4,4,Continental Cup,1
2021-10-16,Argentina,Belgium,0,1,Continental Cup,1
2021-10-18,Ecuador,Panama,1,2,Continental Cup,1
2021-10-20,Belgium,Australia,1,0,Qualifiers,0
2021-10-20,Panama,USA,1,3,Qualifiers,1
2021-10-20,Saudi Arabia,Belgium,0,4,Qualifiers,1
2021-10-20,Algeria,Iraq,3,2,FIFA World Cup,1
2021-10-21,Germany,Ecuador,1,2,Qualifiers,1
2021-10-22,Saudi Arabia,Croatia,0,0,Friendly,0
2021-10-22,Canada,Bosnia and Herzegovina,1,4,Friendly,0
2021-10-22,Haiti,Switzerland,2,1,Qualifiers,1
2021-10-23,Czechia,Türkiye,2,3,Friendly,1
2021-10-25,Portugal,USA,1,0,Qualifiers,0
2021-10-25,England,Ivory Coast,0,0,Qualifiers,0
2021-10-27,Iran,Brazil,2,2,Qualifiers,1
2021-10-27,Netherlands,Colombia,1,1,Qualifiers,1
2021-10-28,DR Congo,Saudi Arabia,1,0,Qualifiers,0
2021-10-28,Colombia,Saudi Arabia,2,1,Qualifiers,1
2021-10-28,DR Congo,Japan,2,1,Qualifiers,0
2021-10-31,Belgium,England,1,2,Friendly,0
2021-11-02,Ghana,Japan,2,1,Qualifiers,0
2021-11-02,Australia,Uzbekistan,0,1,Qualifiers,0
2021-11-03,Paraguay,Ghana,0,2,Qualifiers,0
2021-11-03,Morocco,DR Congo,1,0,Friendly,0
2021-11-03,South Africa,USA,1,3,Qualifiers,1
2021-11-05,Brazil,Senegal,1,0,Qualifiers,1
2021-11-05,Panama,France,0,5,Qualifiers,1
2021-11-05,Spain,Belgium,2,1,Friendly,1
2021-11-06,Mexico,Curaçao,0,0,Qualifiers,0
2021-11-09,Morocco,Czechia,3,4,Qualifiers,1
2021-11-09,Türkiye,Senegal,1,0,Continental Cup,1
2021-11-10,Türkiye,Iran,0,0,Continental Cup,1
2021-11-11,Iraq,Algeria,0,0,Qualifiers,0
2021-11-11,Senegal,Mexico,3,1,Friendly,0
2021-11-14,Switzerland,DR Congo,1,0,Qualifiers,0
2021-11-14,USA,Mexico,2,0,Continental Cup,1
2021-11-14,Curaçao,Belgium,1,7,Continental Cup,1
2021-11-15,Tunisia,Uruguay,1,0,Friendly,0
2021-11-16,Tunisia,Ghana,1,2,Continental Cup,1
2021-11-17,Panama,Austria,2,2,Friendly,1
2021-11-17,Colombia,Ecuador,0,1,FIFA World Cup,1
2021-11-17,Netherlands,France,3,1,Qualifiers,0
2021-11-18,Egypt,Curaçao,1,0,Friendly,1
2021-11-18,Uruguay,Brazil,3,0,Qualifiers,1
2021-11-19,Belgium,Algeria,1,2,Friendly,0
2021-11-20,New Zealand,Panama,1,1,Friendly,1
2021-11-20,Australia,Sweden,2,3,FIFA World Cup,1
2021-11-21,Scotland,Austria,2,1,Qualifiers,0
2021-11-21,Switzerland,Canada,2,1,Friendly,0
2021-11-23,Cape Verde,Haiti,3,0,Qualifiers,0
2021-11-24,Qatar,Brazil,2,4,Continental Cup,1
2021-11-25,Ivory Coast,Norway,1,0,Friendly,1
2021-11-28,Iraq,Türkiye,0,1,Qualifiers,0
2021-11-29,Scotland,Germany,1,0,Continental Cup,1
2021-11-29,Ghana,Ivory Coast,2,0,Qualifiers,1
2021-11-29,Portugal,Saudi Arabia,3,0,Qualifiers,1
2021-11-30,Curaçao,Ivory Coast,0,2,Qualifiers,1
2021-12-01,Haiti,Iran,1,2,Qualifiers,1
2021-12-04,Mexico,Brazil,3,1,Continental Cup,1
2021-12-04,USA,Brazil,1,1,Continental Cup,1
2021-12-04,New Zealand,Algeria,0,2,FIFA World Cup,1
2021-12-06,South Africa,Saudi Arabia,1,2,Friendly,1
2021-12-08,France,Germany,1,2,Qualifiers,1
2021-12-08,Spain,Morocco,1,2,Continental Cup,1
2021-12-08,Curaçao,Saudi Arabia,0,0,Friendly,1
2021-12-09,Norway,Czechia,2,2,Friendly,1
2021-12-09,Ghana,Haiti,2,0,Qualifiers,1
2021-12-09,Croatia,Belgium,1,3,Continental Cup,1
2021-12-11,New Zealand,France,0,2,Friendly,0
2021-12-13,Haiti,DR Congo,2,2,Qualifiers,1
2021-12-14,Tunisia,Japan,3,1,Friendly,0
2021-12-15,Switzerland,South Africa,3,2,Qualifiers,0
2021-12-18,France,South Korea,3,0,FIFA World Cup,1
2021-12-18,Argentina,Panama,3,1,Qualifiers,0
2021-12-18,Algeria,Colombia,2,1,Continental Cup,1
2021-12-18,Japan,France,0,2,Qualifiers,0
2021-12-18,Iran,Norway,0,2,Continental Cup,1
2021-12-18,Belgium,Croatia,1,2,Continental Cup,1
2021-12-19,Uzbekistan,Switzerland,0,0,Continental Cup,1
2021-12-19,Qatar,Norway,1,1,Qualifiers,1
2021-12-21,Scotland,Algeria,1,0,Continental Cup,1
2021-12-21,USA,England,0,2,FIFA World Cup,1
2021-12-22,Norway,Mexico,1,2,Continental Cup,1
2021-12-23,England,Uruguay,7,1,Qualifiers,0
2021-12-24,Ecuador,New Zealand,0,0,Continental Cup,1
2021-12-24,Egypt,USA,3,1,Qualifiers,0
2021-12-25,Paraguay,South Africa,2,0,Continental Cup,1
2021-12-25,Uzbekistan,Croatia,0,2,Continental Cup,1
2021-12-26,Iraq,Algeria,3,2,Qualifiers,0
2021-12-26,Türkiye,Bosnia and Herzegovina,1,1,Qualifiers,0
2021-12-27,Jordan,Czechia,1,0,Qualifiers,0
2021-12-28,Morocco,Germany,4,1,Qualifiers,0
2021-12-30,Iran,Senegal,3,0,Qualifiers,0
2021-12-30,Paraguay,USA,1,1,Continental Cup,1
2021-12-31,Ghana,Tunisia,0,0,Qualifiers,1
2021-12-31,Austria,Scotland,3,2,Friendly,0
2021-12-31,Ecuador,Brazil,0,4,FIFA World Cup,1
2022-01-02,Belgium,Scotland,2,1,Qualifiers,1
2022-01-03,Cape Verde,France,2,5,Friendly,0
2022-01-03,Curaçao,Croatia,0,0,Friendly,0
2022-01-04,Qatar,France,0,4,Friendly,1
2022-01-04,South Africa,Saudi Arabia,0,1,FIFA World Cup,1
2022-01-06,Saudi Arabia,Algeria,0,0,FIFA World Cup,1
2022-01-07,Tunisia,Haiti,2,1,Friendly,0
2022-01-07,Japan,Iraq,1,1,Friendly,0
2022-01-07,Tunisia,Saudi Arabia,4,2,Continental Cup,1
2022-01-08,Cape Verde,Czechia,2,1,Qualifiers,0
2022-01-09,Portugal,Morocco,3,1,Friendly,0
2022-01-09,Portugal,Jordan,3,1,Friendly,1
2022-01-10,Mexico,Austria,0,4,Friendly,1
2022-01-10,Morocco,Bosnia and Herzegovina,2,1,Friendly,0
2022-01-11,Croatia,Bosnia and Herzegovina,4,1,FIFA World Cup,1
2022-01-11,Belgium,Cape Verde,2,0,Qualifiers,1
2022-01-11,DR Congo,USA,0,3,Friendly,1
2022-01-12,Panama,Colombia,2,1,Qualifiers,0
2022-01-13,Netherlands,Scotland,4,0,Qualifiers,1
2022-01-14,Iran,Ivory Coast,0,1,Qualifiers,1
2022-01-14,Brazil,France,1,2,Friendly,0
2022-01-16,Paraguay,Curaçao,3,1,Qualifiers,0
2022-01-16,USA,Ecuador,3,1,Qualifiers,1
2022-01-17,Haiti,Croatia,2,3,Qualifiers,0
2022-01-17,Norway,Spain,1,2,Friendly,0
2022-01-19,Iran,Japan,0,1,Continental Cup,1
2022-01-20,Senegal,Bosnia and Herzegovina,0,0,Friendly,0
2022-01-22,Portugal,Panama,2,1,Friendly,0
2022-01-22,France,Australia,0,1,Qualifiers,1
2022-01-23,DR Congo,Curaçao,1,0,Qualifiers,0
2022-01-23,Scotland,Austria,1,3,Friendly,1
2022-01-23,Japan,Ecuador,3,0,Qualifiers,0
2022-01-25,Portugal,South Africa,3,0,Continental Cup,1
2022-01-25,Czechia,Paraguay,2,2,Friendly,1
2022-01-26,Brazil,Iran,4,1,Continental Cup,1
2022-01-26,Argentina,England,0,0,Friendly,0
2022-01-26,Saudi Arabia,Australia,1,4,Continental Cup,1
2022-01-27,Switzerland,Senegal,0,2,Continental Cup,1
2022-01-27,Uzbekistan,Algeria,2,1,Qualifiers,1
2022-01-30,Jordan,England,0,1,Qualifiers,1
2022-01-30,Curaçao,Scotland,3,1,Friendly,1
2022-02-01,Panama,Australia,1,4,Qualifiers,1
2022-02-01,Uruguay,Jordan,1,2,Qualifiers,0
2022-02-02,Panama,Ivory Coast,3,1,Continental Cup,1
2022-02-03,Ecuador,Paraguay,1,0,Qualifiers,0
2022-02-03,Czechia,Ecuador,4,5,Continental Cup,1
2022-02-04,Panama,Austria,1,0,Continental Cup,1
2022-02-05,Czechia,Colombia,1,2,Friendly,0
2022-02-08,Portugal,Ivory Coast,0,0,Friendly,0
2022-02-10,Ghana,Sweden,4,3,Continental Cup,1
2022-02-11,Japan,Ghana,0,3,Qualifiers,0
2022-02-16,Mexico,Netherlands,2,2,Qualifiers,1
2022-02-16,Canada,Cape Verde,2,2,Qualifiers,1
2022-02-16,Algeria,Ecuador,2,1,Qualifiers,0
2022-02-17,Iraq,Bosnia and Herzegovina,1,2,Qualifiers,0
2022-02-19,Cape Verde,Australia,0,2,Friendly,0
2022-02-21,Brazil,Haiti,4,0,Friendly,0
2022-02-21,Canada,Ecuador,0,3,Friendly,0
2022-02-23,Belgium,Ivory Coast,4,0,Friendly,1
2022-02-24,Portugal,Norway,1,3,Qualifiers,1
2022-02-24,USA,Brazil,1,2,Qualifiers,1
2022-02-26,Egypt,Switzerland,0,1,Continental Cup,1
2022-02-26,Australia,Ecuador,1,1,Continental Cup,1
2022-03-02,Sweden,Mexico,0,2,Qualifiers,0
2022-03-05,Tunisia,Morocco,4,0,Qualifiers,0
2022-03-06,Austria,Uruguay,0,2,Continental Cup,1
2022-03-06,Cape Verde,Panama,3,1,Continental Cup,1
2022-03-06,South Africa,Germany,3,3,Continental Cup,1
2022-03-06,Iraq,Algeria,1,4,Qualifiers,1
2022-03-07,Uzbekistan,South Korea,1,2,Friendly,1
2022-03-07,Colombia,Iraq,7,2,Continental Cup,1
2022-03-15,South Korea,Spain,1,2,Qualifiers,0
2022-03-15,Curaçao,Panama,0,1,Qualifiers,1
2022-03-16,Qatar,Portugal,0,5,Friendly,1
2022-03-16,Netherlands,Uzbekistan,1,1,Friendly,1
2022-03-16,South Africa,Paraguay,0,1,Qualifiers,1
